context,layer,n_prompts,n_utterances,mean_similarity,std_similarity,max_similarity,min_similarity
hopeful,14,100,100,0.9782002170213835,0.01769082201637138,0.9988786901742258,0.8595504589398645
hopeful,15,100,100,0.9712031651804592,0.022064242621937114,0.9981580108267261,0.8274478722794399
hopeful,16,100,100,0.9653228396873438,0.02526231960590696,0.9977661551842287,0.8121336933759598
hopeful,17,100,100,0.960171803615885,0.027884600119241362,0.9971407198621446,0.7898533400918234
hopeful,18,100,100,0.9568441214013071,0.029289989639997054,0.9968081357594198,0.7730634915220551
hopeful,19,100,100,0.9531409399508737,0.031033032791649977,0.9963223096447767,0.7592079530189194
hopeful,20,100,100,0.9420176075050236,0.03701598754662672,0.9955383542738794,0.7179271592376261
hopeful,21,100,100,0.9339286337083617,0.04080449866302271,0.9950486203935373,0.6895969867940341
hopeful,22,100,100,0.9289878601460423,0.04238340805426906,0.9945557810318798,0.6670085083360053
hopeful,23,100,100,0.9246008179137705,0.04300933960578361,0.9938092678151346,0.6545556785813016
hopeful,24,100,100,0.9199846156040227,0.04353154687565104,0.9930750495295473,0.6436971281113206
hopeful,25,100,100,0.9138312693095105,0.0454560487409865,0.9923752809059173,0.6182520185960343
hopeful,26,100,100,0.9032770865384886,0.047850340931589484,0.9912937142641414,0.6044716209398641
hopeful,27,100,100,0.8859210418177045,0.05312506182941935,0.9890092363949201,0.5627944405975551
hopeful,28,100,100,0.806948783257213,0.05562490973438559,0.9430613239285426,0.4593366100690913
faithful,0,100,100,0.5602088290845773,0.13276341783826562,0.9105359207304566,0.0686131537562539
faithful,1,100,100,0.8720561814224116,0.0672780222489306,0.9851987168741426,0.45209851761198244
faithful,2,100,100,0.99876319994657,0.001802540178495582,0.9999479917876656,0.9830919593426417
faithful,3,100,100,0.9973841614907991,0.0036066617544503236,0.9998997054439785,0.967415326346314
faithful,4,100,100,0.9950083367287107,0.006236325929409821,0.999805631860542,0.9456521522499847
faithful,5,100,100,0.9928583704898222,0.008226207666722968,0.9997514345968292,0.9285089908483904
faithful,6,100,100,0.9910027894573815,0.01038751757352041,0.9997224037141907,0.9105193326411111
faithful,7,100,100,0.9892082615710166,0.011962281915584037,0.9996280439025843,0.8959266868493336
faithful,8,100,100,0.9864975523309691,0.01463255280920003,0.9995512566228621,0.8730285069519362
faithful,9,100,100,0.9851209825096175,0.01621510700678914,0.9995175338160194,0.8590221817849643
faithful,10,100,100,0.9833057259437455,0.018929000988960543,0.9995366471001808,0.8357887492460315
